Codigo Nacional,Nombre,Lat,Lon,Ubicacion,Latitud,Longitud,Distancia_km
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Temuco,-38.7333,-72.6,1839.33
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de Palena,-43.5,-72.5,2358.8
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Provincia de San Antonio,-33.6,-71.6,1262.59
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Calera,-32.7833,-71.2167,1166.25
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,Región de Tarapacá,-20.2,-69.2,257.51
220002,"El Loa, Calama Ad.",-22.49806,-68.8925,La Cruz,-32.8167,-71.2333,1170.2
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Quillota,-32.8833,-71.25,1051.48
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región Metropolitana,-33.45,-70.6667,1111.76
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región de Ñuble,-36.6,-72.1,1470.39
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Limarí,-30.7,-71.3,810.18
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Limache,-33.0167,-71.2667,1066.39
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región de Arica y Parinacota,-18.5,-69.75,555.52
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia del Elquí,-30.0,-70.9,729.32
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región de Coquimbo,-29.95,-71.34,727.8
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Curicó,-34.9833,-71.2333,1284.31
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Linares,-35.85,-71.6,1382.89
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Diguillín,-36.75,-72.1,1486.96
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Carahue,-38.7,-73.1667,1714.77
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región del Maule,-35.4,-71.7,1333.89
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región de O'Higgins,-34.6,-71.3,1242.19
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Talca,-35.4333,-71.6667,1337.28
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Chacabuco,-33.2833,-70.7,1093.29
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de San Felipe de Aconcagua,-32.75,-70.7,1034.01
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región de Valparaíso,-33.05,-71.6167,1073.19
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Melipilla,-33.7,-71.2,1141.72
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Petorca,-32.25,-70.9333,979.29
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región de La Araucanía,-38.75,-72.6,1713.05
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Talagante,-33.6667,-70.9333,1136.64
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Santiago,-33.45,-70.6667,1111.76
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Paine,-33.8167,-70.75,1152.7
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Huasco,-28.5,-71.25,566.86
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Copiapó,-27.37,-70.33,435.64
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Cabildo,-32.4333,-71.0833,1000.45
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Cautín,-38.7333,-72.6,1711.21
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Quillón,-36.7333,-72.4667,1489.27
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Illapel,-31.6333,-71.1667,912.31
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región del Bíobío,-37.45,-72.3,1566.35
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Valle de Camiña,-19.3167,-69.5333,469.59
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Hijuelas,-32.8,-71.15,1041.56
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Colchagua,-34.58,-70.99,1238.32
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Los Andes,-32.8333,-70.6,1043.08
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Llanquihue,-41.25,-73.0,1993.11
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Maipo,-33.6667,-70.75,1136.03
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Cachapoal,-34.3,-70.9,1206.87
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región de Los Lagos,-41.5,-73.0,2020.66
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Arauco,-37.25,-73.3333,1558.67
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Llay Llay,-32.85,-70.9333,1045.92
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Angol,-37.8,-72.7,1609.61
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia del Biobío,-37.5,-71.9,1568.03
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Ñuble,-36.6,-72.1,1470.39
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Ovalle-Copiapó,-30.6,-71.2,798.14
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Valle de Huasco,-28.5,-71.2,566.18
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Pan de Azúcar,-29.8,-71.25,710.2
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,La Ligua,-32.45,-71.23,1003.31
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Calama,-22.4667,-68.9333,189.75
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Temuco,-38.7333,-72.6,1711.21
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de Palena,-43.5,-72.5,2237.0
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Provincia de San Antonio,-33.6,-71.6,1133.83
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Calera,-32.7833,-71.2167,1040.16
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,Región de Tarapacá,-20.2,-69.2,383.93
230001,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,La Cruz,-32.8167,-71.2333,1043.98
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Quillota,-32.8833,-71.25,3710.42
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Región Metropolitana,-33.45,-70.6667,3764.6
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Región de Ñuble,-36.6,-72.1,3652.5
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Limarí,-30.7,-71.3,3714.26
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Limache,-33.0167,-71.2667,3708.79
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Región de Arica y Parinacota,-18.5,-69.75,4161.0
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia del Elquí,-30.0,-70.9,3758.33
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Región de Coquimbo,-29.95,-71.34,3716.57
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Curicó,-34.9833,-71.2333,3716.9
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Linares,-35.85,-71.6,3689.75
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Diguillín,-36.75,-72.1,3654.23
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Carahue,-38.7,-73.1667,3591.54
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Región del Maule,-35.4,-71.7,3677.2
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Región de O'Higgins,-34.6,-71.3,3708.94
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Talca,-35.4333,-71.6667,3680.46
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Chacabuco,-33.2833,-70.7,3761.49
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de San Felipe de Aconcagua,-32.75,-70.7,3761.98
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Región de Valparaíso,-33.05,-71.6167,3676.16
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Melipilla,-33.7,-71.2,3715.43
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Petorca,-32.25,-70.9333,3741.25
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Región de La Araucanía,-38.75,-72.6,3640.93
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Talagante,-33.6667,-70.9333,3740.06
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Santiago,-33.45,-70.6667,3764.6
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Paine,-33.8167,-70.75,3757.21
270001,Mataveri Isla de Pascua Ap.,-27.15889,-109.4325,Provincia de Huasco,-28.5,-71.25,3741.8
